left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/human#Behavior		GO:0007610	behavior	label	label	Behavior	behavior	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/human#Service		OBI:0001173	service	label	label	Service	service	100.0	0.5	1.0	4	1.0	0.051108957706568134	0.051108957706568134	4.216916286745673e-21	0.8977820845868637	True	True	False	False	2
http://sweetontology.net/human#SocialBehavior		GO:0035176	social behavior	label	label	SocialBehavior	social behavior	100.0	0.5	1.0	4	1.0	0.0287950326583528	0.0287950326583528	0.9271689140620263	0.01524102062126812	True	True	False	False	2
http://sweetontology.net/human#Work		PATO:0001026	work	label	label	Work	work	100.0	1.0	1.0	2	0.5	0.051108957706568134	0.051108957706568134	2.5576890173528017e-21	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanCommerce#Construction		ENVO:00000070	construction	label	label	Construction	construction	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	4
http://sweetontology.net/humanCommerce#Development		GO:0032502	developmental process	label	hasNarrowSynonym	Development	development	50.0	1.0	1.0	2	0.5	0.12123525446917795	0.01868473059429272	1.2199224246520354e-22	0.8600800149365293	True	True	False	False	3
http://sweetontology.net/humanCommerce#Extraction		OBI:0302884	extraction	label	label	Extraction	extraction	100.0	1.0	1.0	2	0.5	0.051108957706568134	0.051108957706568134	2.5576890173528017e-21	0.8977820845868637	True	True	False	False	4
http://sweetontology.net/humanDecision#DSS		CHEBI:85362	3-(trimethylsilyl)propane-1-sulfonic acid	label	hasRelatedSynonym	DSS	DSS	12.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	2.099478994697658e-22	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanDecision#Preference		PATO:0000773	preference	label	label	Preference	preference	100.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	4.216916286745673e-21	0.8977820845868637	True	True	False	False	2
http://sweetontology.net/humanDecision#Ranking		STATO:0000118	ranking	label	label	Ranking	ranking	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/humanEnvirAssessment#EnvironmentalMonitoring		ENVO:02500041	environmental monitoring	label	label	EnvironmentalMonitoring	environmental monitoring	100.0	0.5	1.0	0	0.6666666666666666	0.05330184767537247	0.05330184767537247	0.8647920061554494	0.02860429849380552	True	True	False	False	4
http://sweetontology.net/humanEnvirAssessment#NSR		GO:0043914	NADPH:sulfur oxidoreductase activity	label	hasExactSynonym	NSR	NSR	22.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	2.5576890173528017e-21	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanEnvirControl#Afforestation		ENVO:02500011	afforestation	label	label	Afforestation	afforestation	100.0	0.5	1.0	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/humanEnvirControl#Flocculation		GO:0000128	flocculation	label	label	Flocculation	flocculation	100.0	1.0	1.0	2	0.5	0.051108957706568134	0.051108957706568134	2.5576890173528017e-21	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanEnvirControl#Reforestation		ENVO:02500013	reforestation	label	label	Reforestation	reforestation	100.0	1.0	0.6666666666666666	4	1.0	0.051631223853275905	0.051631223853275905	0.8711827583159387	0.025554793977509357	True	True	False	False	2
http://sweetontology.net/humanEnvirControl#Revegetation		ENVO:02500032	revegetation	label	label	Revegetation	revegetation	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/humanEnvirStandards#ADI		CHEBI:60246	alpha-D-GalNAc-(1->3)-D-Gal	label	hasRelatedSynonym	ADI	Adi	12.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	2.099478994697658e-22	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanEnvirStandards#EPA		CHEBI:28364	all-cis-5,8,11,14,17-icosapentaenoic acid	label	hasRelatedSynonym	EPA	EPA	12.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	2.099478994697658e-22	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanEnvirStandards#REC		TO:0000136	relative water content	label	hasRelatedSynonym	REC	rec	12.0	1.0	1.0	4	1.0	0.051108957706568134	0.051108957706568134	2.099478994697658e-22	0.8977820845868637	True	True	False	False	3
http://sweetontology.net/humanJurisdiction#AdministrativeRegion		ENVO:00000004	administrative region	label	label	AdministrativeRegion	administrative region	100.0	0.25	1.0	4	1.0	0.05133782727739797	0.05133782727739797	0.8662322260763746	0.031092119368829496	True	True	False	False	2
http://sweetontology.net/humanJurisdiction#CSA		CHEBI:55379	camphorsulfonic acid	label	hasRelatedSynonym	CSA	CSA	12.0	1.0	1.0	0	0.5901639344262295	0.051108957706568134	0.051108957706568134	1.0425704143856166e-22	0.8977820845868637	True	True	False	False	5
http://sweetontology.net/humanJurisdiction#City		ENVO:00000856	city	label	label	City	city	100.0	1.0	0.5	0	0.6666666666666666	0.08030630346466644	0.09632448189230666	0.7936721580567959	0.029697056586230904	True	True	False	False	3
http://sweetontology.net/humanJurisdiction#Country		ENVO:00000009	national geopolitical entity	label	hasRelatedSynonym	Country	country	50.0	1.0	1.0	2	0.3333333333333333	0.1850552426987884	0.22196701386285003	0.4769649647105126	0.11601277872784899	True	True	False	False	4
http://sweetontology.net/humanJurisdiction#Province		ENVO:00000104	undersea feature	label	hasNarrowSynonym	Province	province	50.0	1.0	0.5	0	0.07380073800738007	0.12123525446917795	0.01868473059429272	9.987880054320758e-23	0.8600800149365293	True	True	False	False	1402
http://sweetontology.net/humanJurisdiction#Regulation		GO:0065007	biological regulation	label	hasBroadSynonym	Regulation	regulation	50.0	1.0	1.0	4	1.0	0.01868473059429272	0.12123525446917795	2.0113120501278852e-22	0.8600800149365293	True	True	False	False	2
http://sweetontology.net/humanJurisdiction#SAR		CHEBI:15611	sarcosine	label	hasRelatedSynonym	SAR	Sar	12.0	1.0	1.0	2	0.5	0.051108957706568134	0.051108957706568134	1.2733983797067868e-22	0.8977820845868637	True	True	False	False	8
