left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/humanCommerce/Construction		ENVO:00000070	construction	label	label	Construction	construction	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	4
http://sweetontology.net/humanEnvirAssessment/EnvironmentalMonitoring		ENVO:02500041	environmental monitoring	label	label	EnvironmentalMonitoring	environmental monitoring	100.0	1.0	0.5	0	0.6666666666666666	0.05330184767537247	0.05330184767537247	0.8647920061554494	0.02860429849380552	True	True	False	False	4
http://sweetontology.net/humanEnvirControl/Afforestation		ENVO:02500011	afforestation	label	label	Afforestation	afforestation	100.0	1.0	0.5	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/humanEnvirControl/Reforestation		ENVO:02500013	reforestation	label	label	Reforestation	reforestation	100.0	1.0	0.6666666666666666	4	1.0	0.051631223853275905	0.051631223853275905	0.8711827583159387	0.025554793977509357	True	True	False	False	2
http://sweetontology.net/humanEnvirControl/Revegetation		ENVO:02500032	revegetation	label	label	Revegetation	revegetation	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/humanJurisdiction/AdministrativeRegion		ENVO:00000004	administrative region	label	label	AdministrativeRegion	administrative region	100.0	0.25	1.0	4	1.0	0.05133782727739797	0.05133782727739797	0.8662322260763746	0.031092119368829496	True	True	False	False	2
http://sweetontology.net/humanJurisdiction/City		ENVO:00000856	city	label	label	City	city	100.0	0.5	1.0	0	0.6666666666666666	0.08030630346466644	0.09632448189230666	0.7936721580567959	0.029697056586230904	True	True	False	False	3
http://sweetontology.net/humanJurisdiction/Country		ENVO:00000009	national geopolitical entity	label	hasRelatedSynonym	Country	country	50.0	1.0	1.0	2	0.3333333333333333	0.1850552426987884	0.22196701386285003	0.4769649647105126	0.11601277872784899	True	True	False	False	4
http://sweetontology.net/humanJurisdiction/Province		ENVO:00000104	undersea feature	label	hasNarrowSynonym	Province	province	50.0	1.0	0.5	0	0.07380073800738007	0.23336143030378562	0.035965573507610225	0.6221738118614605	0.10849918432714363	True	True	False	False	459
http://sweetontology.net/humanJurisdiction/State		ENVO:00000009	national geopolitical entity	label	hasRelatedSynonym	State	state	50.0	1.0	1.0	0	0.3333333333333333	0.1991514529406065	0.23887490389897365	0.4371238247689765	0.12484981839144338	True	True	False	False	4
http://sweetontology.net/humanJurisdiction/UrbanArea		ENVO:00000856	city	label	hasBroadSynonym	UrbanArea	urban area	50.0	1.0	0.5	2	0.3333333333333333	0.05431355915094345	0.43462286033125086	0.3980918360954882	0.11297174442231744	True	True	False	False	3
http://sweetontology.net/humanResearch/Monitoring		ENVO:02500041	environmental monitoring	label	hasBroadSynonym	Monitoring	monitoring	50.0	0.5	1.0	2	0.3333333333333333	0.03332066058139333	0.21620000054484287	0.6499591985913405	0.10052014028242323	True	True	False	False	4
