left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/human#Service		OBI:0001173	service	label	label	Service	service	100.0	1.0	0.5	4	1.0	0.05152030226182133	0.05152030226182133	0.8693111587142172	0.027648236762140028	True	True	False	False	2
http://sweetontology.net/humanCommerce#Extraction		OBI:0302884	extraction	label	label	Extraction	extraction	100.0	1.0	1.0	2	0.5	0.052985786299683105	0.052985786299683105	0.8717328054187701	0.02229562198186385	True	True	False	False	4
http://sweetontology.net/humanResearch#Investigation		OBI:0000066	investigation	label	label	Investigation	investigation	100.0	1.0	0.25	4	1.0	0.05133782727739797	0.05133782727739797	0.8662322260763746	0.031092119368829496	True	True	False	False	3
http://sweetontology.net/humanResearch#Validation		OBI:0302911	validation	label	label	Validation	validation	100.0	1.0	0.5	2	0.5	0.052662487968657884	0.052662487968657884	0.8664138362994327	0.0282611877632515	True	True	False	False	3
http://sweetontology.net/matrBiomass#Organism		OBI:0100026	organism	label	label	Organism	organism	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/matrInstrument#Device		OBI:0000968	device	label	label	Device	device	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	3
http://sweetontology.net/matrInstrument#Microscope		OBI:0400169	microscope	label	label	Microscope	microscope	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/phen#Precipitation		OBI:0600034	precipitation	label	label	Precipitation	precipitation	100.0	1.0	1.0	2	0.5	0.052985786299683105	0.052985786299683105	0.8717328054187701	0.02229562198186385	True	True	False	False	3
http://sweetontology.net/phenBiol#Cancer		OBI:1110053	cancer	label	label	Cancer	cancer	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/phenEcology#Selection		OBI:0001928	selection	label	label	Selection	selection	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
