left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	pr_subClassOf	pr_superClassOf	pr_equivalentTo	pr_other	left_novel	right_novel	left_consistent	right_consistent	equiv_clique_size
http://sweetontology.net/humanEnvirStandards/REC		TO:0000136	relative water content	label	hasRelatedSynonym	REC	rec	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	3
http://sweetontology.net/matrElement/Pb		TO:0000477	panicle blast disease resistance	label	hasRelatedSynonym	Pb	PB	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/matrElement/Sb		TO:0000454	stem borer resistance	label	hasRelatedSynonym	Sb	SB	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/matrElement/U		TO:0000121	ufra damage	label	hasRelatedSynonym	U	U	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/propDimensionlessRatio/LeafAreaIndex		TO:0012001	leaf area index	label	label	LeafAreaIndex	leaf area index	100.0	1.0	1.0	4	1.0	0.028891279741098105	0.028891279741098105	0.9302679660495473	0.01194947446825637	True	True	False	False	2
http://sweetontology.net/propSpaceDistance/GrainSize		TO:0000397	grain size	label	label	GrainSize	grain size	100.0	1.0	1.0	4	1.0	0.051829687579256614	0.051829687579256614	0.8745314718137412	0.021809153027745495	True	True	False	False	2
http://sweetontology.net/realmClimateZone/BS		TO:0000356	brown spot disease resistance	label	hasRelatedSynonym	BS	BS	12.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2
http://sweetontology.net/relaTime/endOf		TO:0000587	endosperm quality	label	hasRelatedSynonym	endOf	End	10.0	1.0	1.0	4	1.0	0.22649330347556762	0.18543703292167138	0.39239418050527114	0.19567548309749	True	True	False	False	2
http://sweetontology.net/reprSpace/Space		TO:0000559	plant volume	label	hasRelatedSynonym	Space	space	50.0	1.0	1.0	4	1.0	0.07976909716325621	0.07976909716325621	0.767890593200731	0.07257121247275662	True	True	False	False	2

