sweet:matrAnimal/Zooplankton	zooplankton	odm:zooplankton	Zooplankton	zooplankton		info(label-label,rdf(sweet:matrAnimal/Zooplankton-zooplankton,rdfs:label,(zooplankton-zooplankton)@en)-rdf(odm:zooplankton-Zooplankton,skos:prefLabel,Zooplankton-Zooplankton^^xsd:string),downcase)	
sweet:matrBiomass/Biomass	biomass	odm:biomass	Biomass	biomass		info(label-label,rdf(sweet:matrBiomass/Biomass-biomass,rdfs:label,(biomass-biomass)@en)-rdf(odm:biomass-Biomass,skos:prefLabel,Biomass-Biomass^^xsd:string),downcase)	
sweet:matrCompound/CarbonDioxide	carbon dioxide	odm:carbonDioxide	Carbon dioxide	carbon dioxid		info(label-label,rdf(sweet:matrCompound/CarbonDioxide-carbon dioxide,rdfs:label,(carbon dioxide-carbon dioxide)@en)-rdf(odm:carbonDioxide-Carbon dioxide,skos:prefLabel,Carbon dioxide-Carbon dioxide^^xsd:string),stem)	
sweet:matrCompound/Carbonate	carbonate	odm:carbonate	Carbonate	carbon		info(label-label,rdf(sweet:matrCompound/Carbonate-carbonate,rdfs:label,(carbonate-carbonate)@en)-rdf(odm:carbonate-Carbonate,skos:prefLabel,Carbonate-Carbonate^^xsd:string),stem)	
sweet:matrCompound/NitrousOxide	nitrous oxide	odm:nitrousOxide	Nitrous oxide	nitrous oxid		info(label-label,rdf(sweet:matrCompound/NitrousOxide-nitrous oxide,rdfs:label,(nitrous oxide-nitrous oxide)@en)-rdf(odm:nitrousOxide-Nitrous oxide,skos:prefLabel,Nitrous oxide-Nitrous oxide^^xsd:string),stem)	
sweet:matrCompound/Silica	silica	odm:silica	Silica	silica		info(label-label,rdf(sweet:matrCompound/Silica-silica,rdfs:label,(silica-silica)@en)-rdf(odm:silica-Silica,skos:prefLabel,Silica-Silica^^xsd:string),downcase)	
sweet:matrCompound/Silicate	silicate	odm:silicate	Silicate	silic		info(label-label,rdf(sweet:matrCompound/Silicate-silicate,rdfs:label,(silicate-silicate)@en)-rdf(odm:silicate-Silicate,skos:prefLabel,Silicate-Silicate^^xsd:string),stem)	
sweet:matrCompound/SulfurDioxide	sulfur dioxide	odm:sulfurDioxide	Sulfur dioxide	sulfur dioxid		info(label-label,rdf(sweet:matrCompound/SulfurDioxide-sulfur dioxide,rdfs:label,(sulfur dioxide-sulfur dioxide)@en)-rdf(odm:sulfurDioxide-Sulfur dioxide,skos:prefLabel,Sulfur dioxide-Sulfur dioxide^^xsd:string),stem)	
sweet:matrElement/Aluminum	aluminum	odm:aluminum	Aluminum	aluminum		info(label-label,rdf(sweet:matrElement/Aluminum-aluminum,rdfs:label,(aluminum-aluminum)@en)-rdf(odm:aluminum-Aluminum,skos:prefLabel,Aluminum-Aluminum^^xsd:string),downcase)	
sweet:matrElement/Argon	argon	odm:argon	Argon	argon		info(label-label,rdf(sweet:matrElement/Argon-argon,rdfs:label,(argon-argon)@en)-rdf(odm:argon-Argon,skos:prefLabel,Argon-Argon^^xsd:string),downcase)	
sweet:matrElement/Bromine	bromine	odm:bromine	Bromine	bromin		info(label-label,rdf(sweet:matrElement/Bromine-bromine,rdfs:label,(bromine-bromine)@en)-rdf(odm:bromine-Bromine,skos:prefLabel,Bromine-Bromine^^xsd:string),stem)	
sweet:matrElement/Chlorine	chlorine	odm:chlorine	Chlorine	chlorin		info(label-label,rdf(sweet:matrElement/Chlorine-chlorine,rdfs:label,(chlorine-chlorine)@en)-rdf(odm:chlorine-Chlorine,skos:prefLabel,Chlorine-Chlorine^^xsd:string),stem)	
sweet:matrElement/Fluorine	fluorine	odm:fluorine	Fluorine	fluorin		info(label-label,rdf(sweet:matrElement/Fluorine-fluorine,rdfs:label,(fluorine-fluorine)@en)-rdf(odm:fluorine-Fluorine,skos:prefLabel,Fluorine-Fluorine^^xsd:string),stem)	
sweet:matrElement/Helium	helium	odm:helium	Helium	helium		info(label-label,rdf(sweet:matrElement/Helium-helium,rdfs:label,(helium-helium)@en)-rdf(odm:helium-Helium,skos:prefLabel,Helium-Helium^^xsd:string),downcase)	
sweet:matrElement/Hydrogen	hydrogen	odm:hydrogen	Hydrogen	hydrogen		info(label-label,rdf(sweet:matrElement/Hydrogen-hydrogen,rdfs:label,(hydrogen-hydrogen)@en)-rdf(odm:hydrogen-Hydrogen,skos:prefLabel,Hydrogen-Hydrogen^^xsd:string),downcase)	
sweet:matrElement/Iron	iron	odm:Iron	Iron	iron		info(label-label,rdf(sweet:matrElement/Iron-iron,rdfs:label,(iron-iron)@en)-rdf(odm:Iron-Iron,skos:prefLabel,Iron-Iron^^xsd:string),downcase)	
sweet:matrElement/Magnesium	magnesium	odm:magnesium	Magnesium	magnesium		info(label-label,rdf(sweet:matrElement/Magnesium-magnesium,rdfs:label,(magnesium-magnesium)@en)-rdf(odm:magnesium-Magnesium,skos:prefLabel,Magnesium-Magnesium^^xsd:string),downcase)	
sweet:matrElement/Manganese	manganese	odm:manganese	Manganese	manganes		info(label-label,rdf(sweet:matrElement/Manganese-manganese,rdfs:label,(manganese-manganese)@en)-rdf(odm:manganese-Manganese,skos:prefLabel,Manganese-Manganese^^xsd:string),stem)	
sweet:matrElement/Oxygen	oxygen	odm:oxygen	Oxygen	oxygen		info(label-label,rdf(sweet:matrElement/Oxygen-oxygen,rdfs:label,(oxygen-oxygen)@en)-rdf(odm:oxygen-Oxygen,skos:prefLabel,Oxygen-Oxygen^^xsd:string),downcase)	
sweet:matrElement/Silicon	silicon	odm:silicon	Silicon	silicon		info(label-label,rdf(sweet:matrElement/Silicon-silicon,rdfs:label,(silicon-silicon)@en)-rdf(odm:silicon-Silicon,skos:prefLabel,Silicon-Silicon^^xsd:string),downcase)	
