left,left_label,right,right_label,weight
http://sweetontology.net/human#Behavior,,GO:0007610,behavior,
http://sweetontology.net/human#Service,,OBI:0001173,service,-50
http://sweetontology.net/human#SocialBehavior,,GO:0035176,social behavior,
http://sweetontology.net/human#Work,,PATO:0001026,work,-50
http://sweetontology.net/humanCommerce#Construction,,ENVO:00000070,construction,
http://sweetontology.net/humanCommerce#Development,,GO:0032502,developmental process,-50
http://sweetontology.net/humanCommerce#Extraction,,OBI:0302884,extraction,-50
http://sweetontology.net/humanDecision#DSS,,CHEBI:85362,3-(trimethylsilyl)propane-1-sulfonic acid,-50
http://sweetontology.net/humanDecision#Preference,,PATO:0000773,preference,-50
http://sweetontology.net/humanDecision#Ranking,,STATO:0000118,ranking,
http://sweetontology.net/humanEnvirAssessment#EnvironmentalMonitoring,,ENVO:02500041,environmental monitoring,
http://sweetontology.net/humanEnvirAssessment#NSR,,GO:0043914,NADPH:sulfur oxidoreductase activity,-50
http://sweetontology.net/humanEnvirControl#Afforestation,,ENVO:02500011,afforestation,
http://sweetontology.net/humanEnvirControl#Flocculation,,GO:0000128,flocculation,-50
http://sweetontology.net/humanEnvirControl#Reforestation,,ENVO:02500013,reforestation,
http://sweetontology.net/humanEnvirControl#Revegetation,,ENVO:02500032,revegetation,
http://sweetontology.net/humanEnvirStandards#ADI,,CHEBI:60246,alpha-D-GalNAc-(1->3)-D-Gal,-50
http://sweetontology.net/humanEnvirStandards#EPA,,CHEBI:28364,"all-cis-5,8,11,14,17-icosapentaenoic acid",-50
http://sweetontology.net/humanEnvirStandards#REC,,TO:0000136,relative water content,-50
http://sweetontology.net/humanJurisdiction#AdministrativeRegion,,ENVO:00000004,administrative region,
http://sweetontology.net/humanJurisdiction#CSA,,CHEBI:55379,camphorsulfonic acid,-50
http://sweetontology.net/humanJurisdiction#City,,ENVO:00000856,city,
http://sweetontology.net/humanJurisdiction#Country,,ENVO:00000009,national geopolitical entity,
http://sweetontology.net/humanJurisdiction#Province,,ENVO:00000104,undersea feature,-50
http://sweetontology.net/humanJurisdiction#Regulation,,GO:0065007,biological regulation,-50
http://sweetontology.net/humanJurisdiction#SAR,,CHEBI:15611,sarcosine,-50
http://sweetontology.net/humanJurisdiction#State,,ENVO:00000009,national geopolitical entity,
http://sweetontology.net/humanJurisdiction#UrbanArea,,ENVO:00000856,city,
http://sweetontology.net/humanResearch#Investigation,,OBI:0000066,investigation,
http://sweetontology.net/humanResearch#Monitoring,,ENVO:02500041,environmental monitoring,
http://sweetontology.net/humanResearch#Publication,,IAO:0000311,publication,
http://sweetontology.net/humanResearch#Residual,,STATO:0000234,residual,
http://sweetontology.net/humanResearch#Validation,,OBI:0302911,validation,
http://sweetontology.net/humanResearch#Variable,,PATO:0001227,variant,-50
http://sweetontology.net/humanResearch#Variable,,STATO:0000258,variable,
http://sweetontology.net/humanTransportation#Flight,,GO:0060361,flight,-50
http://sweetontology.net/humanTransportation#Transport,,GO:0006810,transport,-50
http://sweetontology.net/humanTransportation#Transportation,,ENVO:02000125,transportation,
http://sweetontology.net/matr#Air,,CHEBI:28843,5-amino-1-(5-phospho-D-ribosyl)imidazole,-50
http://sweetontology.net/matr#Air,,ENVO:00002005,air,
http://sweetontology.net/matr#ChemicalSubstance,,CHEBI:59999,chemical substance,
http://sweetontology.net/matr#DOC,,CHEBI:16973,11-deoxycorticosterone,
http://sweetontology.net/matr#GreenhouseGas,,CHEBI:76413,greenhouse gas,
http://sweetontology.net/matr#Mixture,,CHEBI:60004,mixture,
http://sweetontology.net/matr#Solution,,CHEBI:75958,solution,
http://sweetontology.net/matrAerosol#Aerosol,,ENVO:00010505,aerosol,
http://sweetontology.net/matrAerosol#CCN,,CHEBI:15862,ethylamine,-50
http://sweetontology.net/matrAerosol#CCN,,ENVO:01000912,cloud condensation nucleus,
http://sweetontology.net/matrAerosol#Dust,,ENVO:00002008,dust,
http://sweetontology.net/matrAerosol#PM10,,ENVO:01000405,respirable suspended particulate matter,
http://sweetontology.net/matrAerosol#Pollen,,PO:0025281,pollen,
http://sweetontology.net/matrAerosol#Smoke,,ENVO:01000838,smoke,
http://sweetontology.net/matrAerosol#Soot,,ENVO:03000021,soot,
http://sweetontology.net/matrAnimal#Dairy,,ENVO:00000077,agricultural feature,
http://sweetontology.net/matrAnimal#Dairy,,ENVO:00003862,dairy,
http://sweetontology.net/matrAnimal#Livestock,,ENVO:02000005,obsolete livestock-associated habitat,
http://sweetontology.net/matrBiomass#AnimalWaste,,ENVO:00002276,animal waste material,
http://sweetontology.net/matrBiomass#Biomass,,ENVO:01000155,organic material,
http://sweetontology.net/matrBiomass#Detritus,,ENVO:01001103,detritus,
http://sweetontology.net/matrBiomass#Fertilizer,,CHEBI:33287,fertilizer,
http://sweetontology.net/matrBiomass#Food,,CHEBI:33290,food,
http://sweetontology.net/matrBiomass#Humus,,ENVO:01000000,humus,
http://sweetontology.net/matrBiomass#Organism,,OBI:0100026,organism,
http://sweetontology.net/matrBiomass#Wood,,ENVO:00000109,woodland,
http://sweetontology.net/matrBiomass#Wood,,ENVO:00000111,forest,
http://sweetontology.net/matrBiomass#Wood,,ENVO:00000118,coconut plantation,
http://sweetontology.net/matrBiomass#Wood,,ENVO:00000193,olive grove,
http://sweetontology.net/matrBiomass#Wood,,ENVO:00002040,wood,
http://sweetontology.net/matrCompound#Ammonia,,CHEBI:16134,ammonia,
http://sweetontology.net/matrCompound#BrO,,CHEBI:29250,hypobromite,
http://sweetontology.net/matrCompound#BrO,,CHEBI:29871,bromosyl group,
http://sweetontology.net/matrCompound#BrO,,CHEBI:29872,bromooxy group,
http://sweetontology.net/matrCompound#BrO,,CHEBI:29873,oxidobromine(1+),
http://sweetontology.net/matrCompound#BrO,,CHEBI:29876,oxidobromine(.),
http://sweetontology.net/matrCompound#BromineMonoxide,,CHEBI:29876,oxidobromine(.),
http://sweetontology.net/matrCompound#CO,,CHEBI:17245,carbon monoxide,
http://sweetontology.net/matrCompound#CO,,CHEBI:17790,methanol,
http://sweetontology.net/matrCompound#CO,,CHEBI:23019,carbonyl group,
http://sweetontology.net/matrCompound#CO,,CHEBI:23336,cobalt cation,
http://sweetontology.net/matrCompound#CO,,CHEBI:27638,cobalt atom,
http://sweetontology.net/matrCompound#CO,,CHEBI:29333,oxidocarbon(.1+),
http://sweetontology.net/matrCompound#CO,,CHEBI:29334,oxidocarbon(2+),
http://sweetontology.net/matrCompound#CO,,CHEBI:29335,oxidocarbonate(.1-),
http://sweetontology.net/matrCompound#CO,,CHEBI:30152,carbonylidene group,
http://sweetontology.net/matrCompound#CO,,CHEBI:48828,cobalt(2+),
http://sweetontology.net/matrCompound#CO,,CHEBI:49415,cobalt(3+),
http://sweetontology.net/matrCompound#CO,,CHEBI:85033,cobalt(1+),
http://sweetontology.net/matrCompound#CO2,,CHEBI:16526,carbon dioxide,
http://sweetontology.net/matrCompound#CO2,,CHEBI:18245,carboxylato group,
http://sweetontology.net/matrCompound#CO2,,CHEBI:29325,oxidooxomethyl,
http://sweetontology.net/matrCompound#COS,,CHEBI:16573,carbonyl sulfide,
http://sweetontology.net/matrCompound#CarbonDioxide,,CHEBI:16526,carbon dioxide,
http://sweetontology.net/matrCompound#CarbonMonoxide,,CHEBI:17245,carbon monoxide,
http://sweetontology.net/matrCompound#Carbonate,,CHEBI:41609,carbonate,
http://sweetontology.net/matrCompound#CarbonicAcid,,CHEBI:28976,carbonic acid,
http://sweetontology.net/matrCompound#CarbonylSulfide,,CHEBI:16573,carbonyl sulfide,
http://sweetontology.net/matrCompound#ChemicalCompound,,CHEBI:37577,heteroatomic molecular entity,
http://sweetontology.net/matrCompound#ChlorineDioxide,,CHEBI:29415,dioxidochlorine(.),
http://sweetontology.net/matrCompound#ChlorineDioxide,,CHEBI:52357,chlorine dioxide,
http://sweetontology.net/matrCompound#ChlorineMonoxide,,CHEBI:29314,oxidochlorine(.),
http://sweetontology.net/matrCompound#ChlorineMonoxide,,CHEBI:30198,dichloridooxygen,
http://sweetontology.net/matrCompound#Cl2O2,,CHEBI:30140,(dichlorine dioxide)(1+),
http://sweetontology.net/matrCompound#Cl2O2,,CHEBI:35927,chlorine peroxide,
http://sweetontology.net/matrCompound#Cl2O2,,CHEBI:52354,chloro chlorite,
http://sweetontology.net/matrCompound#Cl2O2,,CHEBI:52355,dichlorine dioxide,
http://sweetontology.net/matrCompound#ClO,,CHEBI:29222,hypochlorite,
http://sweetontology.net/matrCompound#ClO,,CHEBI:29314,oxidochlorine(.),
http://sweetontology.net/matrCompound#ClO,,CHEBI:29878,chlorosyl group,
http://sweetontology.net/matrCompound#ClO,,CHEBI:29879,chlorooxy group,
http://sweetontology.net/matrCompound#ClO2,,CHEBI:17441,chlorite,
http://sweetontology.net/matrCompound#ClO2,,CHEBI:29414,chloridodioxygen(.),
http://sweetontology.net/matrCompound#ClO2,,CHEBI:29415,dioxidochlorine(.),
http://sweetontology.net/matrCompound#ClO2,,CHEBI:29418,dioxidochlorine(1+),
http://sweetontology.net/matrCompound#ClO2,,CHEBI:29883,chloryl group,
http://sweetontology.net/matrCompound#ClO2,,CHEBI:29884,oxo-lambda(3)-chloranyloxy group,
http://sweetontology.net/matrCompound#ClO2,,CHEBI:52357,chlorine dioxide,
http://sweetontology.net/matrCompound#Clathrate,,CHEBI:39024,clathrate compound,
http://sweetontology.net/matrCompound#DichlorinePeroxide,,CHEBI:35927,chlorine peroxide,
http://sweetontology.net/matrCompound#DinitrogenPentoxide,,CHEBI:29802,dinitrogen pentaoxide,
http://sweetontology.net/matrCompound#DryIce,,ENVO:01001138,carbon dioxide ice,
http://sweetontology.net/matrCompound#Fe3O4,,CHEBI:46726,magnetite,
http://sweetontology.net/matrCompound#Fe3O4,,CHEBI:50821,ferrosoferric oxide,
http://sweetontology.net/matrCompound#H2CO3,,CHEBI:28976,carbonic acid,
http://sweetontology.net/matrCompound#H2O,,CHEBI:15377,water,
http://sweetontology.net/matrCompound#H2O,,CHEBI:29375,diprotium oxide,
http://sweetontology.net/matrCompound#H2O,,CHEBI:33813,((18)O)water,
http://sweetontology.net/matrCompound#H2O2,,CHEBI:16240,hydrogen peroxide,
http://sweetontology.net/matrCompound#H2O2,,CHEBI:30492,dioxidaniumyl,
http://sweetontology.net/matrCompound#H2SO4,,CHEBI:26836,sulfuric acid,
http://sweetontology.net/matrCompound#HBr,,CHEBI:47266,hydrogen bromide,
http://sweetontology.net/matrCompound#HBrO,,CHEBI:29249,hypobromous acid,
http://sweetontology.net/matrCompound#HCl,,CHEBI:17883,hydrogen chloride,
http://sweetontology.net/matrCompound#HClO,,CHEBI:24757,hypochlorous acid,
http://sweetontology.net/matrCompound#HClO4,,CHEBI:29221,perchloric acid,
http://sweetontology.net/matrCompound#HF,,CHEBI:29228,hydrogen fluoride,
http://sweetontology.net/matrCompound#HF,,CHEBI:30234,fluoridohydrogen(.1+),
http://sweetontology.net/matrCompound#HF,,CHEBI:33343,hafnium atom,
http://sweetontology.net/matrCompound#HNO2,,CHEBI:25567,nitrous acid,
http://sweetontology.net/matrCompound#HNO3,,CHEBI:25942,peroxynitrous acid,
http://sweetontology.net/matrCompound#HNO3,,CHEBI:48107,nitric acid,
http://sweetontology.net/matrCompound#HNO4,,CHEBI:29271,peroxynitric acid,
http://sweetontology.net/matrCompound#HO2,,CHEBI:25935,hydroperoxyl,
http://sweetontology.net/matrCompound#HO2,,CHEBI:29192,hydrogenperoxide(1-),
http://sweetontology.net/matrCompound#HO2,,CHEBI:29792,hydroperoxy group,
http://sweetontology.net/matrCompound#HO2,,CHEBI:29793,hydridodioxygen(1+),
http://sweetontology.net/matrCompound#HO2,,CHEBI:79974,ROOH,
http://sweetontology.net/matrCompound#HOCl,,CHEBI:24757,hypochlorous acid,
http://sweetontology.net/matrCompound#HOx,,CHEBI:46904,oxalate(1-),
http://sweetontology.net/matrCompound#Hematite,,CHEBI:50818,hematite,
http://sweetontology.net/matrCompound#HydrogenBromide,,CHEBI:47266,hydrogen bromide,
http://sweetontology.net/matrCompound#HydrogenChloride,,CHEBI:17883,hydrogen chloride,
http://sweetontology.net/matrCompound#HydrogenFluoride,,CHEBI:29228,hydrogen fluoride,
http://sweetontology.net/matrCompound#HydrogenPeroxide,,CHEBI:16240,hydrogen peroxide,
http://sweetontology.net/matrCompound#Hydroperoxyl,,CHEBI:25935,hydroperoxyl,
http://sweetontology.net/matrCompound#Hydroxyl,,CHEBI:29191,hydroxyl,
http://sweetontology.net/matrCompound#Hydroxyl,,CHEBI:43176,hydroxy group,
